Data,Ano,Mes,NumeroMes,MesAno,Trimestre,Semana,Dia,DiaSemana,NomeDiaSemana,DiaUtil,FimSemana,InicioMes,FimMes
2025-02-28,2025,Fevereiro,2,2025-02,Q1,9,28,4,Sexta,True,False,False,True
2025-03-01,2025,Março,3,2025-03,Q1,9,1,5,Sábado,False,True,True,False
2025-03-02,2025,Março,3,2025-03,Q1,9,2,6,Domingo,False,True,False,False
2025-03-03,2025,Março,3,2025-03,Q1,10,3,0,Segunda,True,False,False,False
2025-03-04,2025,Março,3,2025-03,Q1,10,4,1,Terça,True,False,False,False
2025-03-05,2025,Março,3,2025-03,Q1,10,5,2,Quarta,True,False,False,False
2025-03-06,2025,Março,3,2025-03,Q1,10,6,3,Quinta,True,False,False,False
2025-03-07,2025,Março,3,2025-03,Q1,10,7,4,Sexta,True,False,False,False
2025-03-08,2025,Março,3,2025-03,Q1,10,8,5,Sábado,False,True,False,False
2025-03-09,2025,Março,3,2025-03,Q1,10,9,6,Domingo,False,True,False,False
2025-03-10,2025,Março,3,2025-03,Q1,11,10,0,Segunda,True,False,False,False
2025-03-11,2025,Março,3,2025-03,Q1,11,11,1,Terça,True,False,False,False
2025-03-12,2025,Março,3,2025-03,Q1,11,12,2,Quarta,True,False,False,False
2025-03-13,2025,Março,3,2025-03,Q1,11,13,3,Quinta,True,False,False,False
2025-03-14,2025,Março,3,2025-03,Q1,11,14,4,Sexta,True,False,False,False
2025-03-15,2025,Março,3,2025-03,Q1,11,15,5,Sábado,False,True,False,False
2025-03-16,2025,Março,3,2025-03,Q1,11,16,6,Domingo,False,True,False,False
2025-03-17,2025,Março,3,2025-03,Q1,12,17,0,Segunda,True,False,False,False
2025-03-18,2025,Março,3,2025-03,Q1,12,18,1,Terça,True,False,False,False
2025-03-19,2025,Março,3,2025-03,Q1,12,19,2,Quarta,True,False,False,False
2025-03-20,2025,Março,3,2025-03,Q1,12,20,3,Quinta,True,False,False,False
2025-03-21,2025,Março,3,2025-03,Q1,12,21,4,Sexta,True,False,False,False
2025-03-22,2025,Março,3,2025-03,Q1,12,22,5,Sábado,False,True,False,False
2025-03-23,2025,Março,3,2025-03,Q1,12,23,6,Domingo,False,True,False,False
2025-03-24,2025,Março,3,2025-03,Q1,13,24,0,Segunda,True,False,False,False
2025-03-25,2025,Março,3,2025-03,Q1,13,25,1,Terça,True,False,False,False
2025-03-26,2025,Março,3,2025-03,Q1,13,26,2,Quarta,True,False,False,False
2025-03-27,2025,Março,3,2025-03,Q1,13,27,3,Quinta,True,False,False,False
2025-03-28,2025,Março,3,2025-03,Q1,13,28,4,Sexta,True,False,False,False
2025-03-29,2025,Março,3,2025-03,Q1,13,29,5,Sábado,False,True,False,False
2025-03-30,2025,Março,3,2025-03,Q1,13,30,6,Domingo,False,True,False,False
2025-03-31,2025,Março,3,2025-03,Q1,14,31,0,Segunda,True,False,False,True
2025-04-01,2025,Abril,4,2025-04,Q2,14,1,1,Terça,True,False,True,False
2025-04-02,2025,Abril,4,2025-04,Q2,14,2,2,Quarta,True,False,False,False
2025-04-03,2025,Abril,4,2025-04,Q2,14,3,3,Quinta,True,False,False,False
2025-04-04,2025,Abril,4,2025-04,Q2,14,4,4,Sexta,True,False,False,False
2025-04-05,2025,Abril,4,2025-04,Q2,14,5,5,Sábado,False,True,False,False
2025-04-06,2025,Abril,4,2025-04,Q2,14,6,6,Domingo,False,True,False,False
2025-04-07,2025,Abril,4,2025-04,Q2,15,7,0,Segunda,True,False,False,False
2025-04-08,2025,Abril,4,2025-04,Q2,15,8,1,Terça,True,False,False,False
2025-04-09,2025,Abril,4,2025-04,Q2,15,9,2,Quarta,True,False,False,False
2025-04-10,2025,Abril,4,2025-04,Q2,15,10,3,Quinta,True,False,False,False
2025-04-11,2025,Abril,4,2025-04,Q2,15,11,4,Sexta,True,False,False,False
2025-04-12,2025,Abril,4,2025-04,Q2,15,12,5,Sábado,False,True,False,False
2025-04-13,2025,Abril,4,2025-04,Q2,15,13,6,Domingo,False,True,False,False
2025-04-14,2025,Abril,4,2025-04,Q2,16,14,0,Segunda,True,False,False,False
2025-04-15,2025,Abril,4,2025-04,Q2,16,15,1,Terça,True,False,False,False
2025-04-16,2025,Abril,4,2025-04,Q2,16,16,2,Quarta,True,False,False,False
2025-04-17,2025,Abril,4,2025-04,Q2,16,17,3,Quinta,True,False,False,False
2025-04-18,2025,Abril,4,2025-04,Q2,16,18,4,Sexta,True,False,False,False
2025-04-19,2025,Abril,4,2025-04,Q2,16,19,5,Sábado,False,True,False,False
2025-04-20,2025,Abril,4,2025-04,Q2,16,20,6,Domingo,False,True,False,False
2025-04-21,2025,Abril,4,2025-04,Q2,17,21,0,Segunda,True,False,False,False
2025-04-22,2025,Abril,4,2025-04,Q2,17,22,1,Terça,True,False,False,False
2025-04-23,2025,Abril,4,2025-04,Q2,17,23,2,Quarta,True,False,False,False
2025-04-24,2025,Abril,4,2025-04,Q2,17,24,3,Quinta,True,False,False,False
2025-04-25,2025,Abril,4,2025-04,Q2,17,25,4,Sexta,True,False,False,False
2025-04-26,2025,Abril,4,2025-04,Q2,17,26,5,Sábado,False,True,False,False
2025-04-27,2025,Abril,4,2025-04,Q2,17,27,6,Domingo,False,True,False,False
2025-04-28,2025,Abril,4,2025-04,Q2,18,28,0,Segunda,True,False,False,False
2025-04-29,2025,Abril,4,2025-04,Q2,18,29,1,Terça,True,False,False,False
2025-04-30,2025,Abril,4,2025-04,Q2,18,30,2,Quarta,True,False,False,True
2025-05-01,2025,Maio,5,2025-05,Q2,18,1,3,Quinta,True,False,True,False
2025-05-02,2025,Maio,5,2025-05,Q2,18,2,4,Sexta,True,False,False,False
2025-05-03,2025,Maio,5,2025-05,Q2,18,3,5,Sábado,False,True,False,False
2025-05-04,2025,Maio,5,2025-05,Q2,18,4,6,Domingo,False,True,False,False
2025-05-05,2025,Maio,5,2025-05,Q2,19,5,0,Segunda,True,False,False,False
2025-05-06,2025,Maio,5,2025-05,Q2,19,6,1,Terça,True,False,False,False
2025-05-07,2025,Maio,5,2025-05,Q2,19,7,2,Quarta,True,False,False,False
2025-05-08,2025,Maio,5,2025-05,Q2,19,8,3,Quinta,True,False,False,False
2025-05-09,2025,Maio,5,2025-05,Q2,19,9,4,Sexta,True,False,False,False
2025-05-10,2025,Maio,5,2025-05,Q2,19,10,5,Sábado,False,True,False,False
2025-05-11,2025,Maio,5,2025-05,Q2,19,11,6,Domingo,False,True,False,False
2025-05-12,2025,Maio,5,2025-05,Q2,20,12,0,Segunda,True,False,False,False
2025-05-13,2025,Maio,5,2025-05,Q2,20,13,1,Terça,True,False,False,False
2025-05-14,2025,Maio,5,2025-05,Q2,20,14,2,Quarta,True,False,False,False
2025-05-15,2025,Maio,5,2025-05,Q2,20,15,3,Quinta,True,False,False,False
2025-05-16,2025,Maio,5,2025-05,Q2,20,16,4,Sexta,True,False,False,False
2025-05-17,2025,Maio,5,2025-05,Q2,20,17,5,Sábado,False,True,False,False
2025-05-18,2025,Maio,5,2025-05,Q2,20,18,6,Domingo,False,True,False,False
2025-05-19,2025,Maio,5,2025-05,Q2,21,19,0,Segunda,True,False,False,False
2025-05-20,2025,Maio,5,2025-05,Q2,21,20,1,Terça,True,False,False,False
2025-05-21,2025,Maio,5,2025-05,Q2,21,21,2,Quarta,True,False,False,False
2025-05-22,2025,Maio,5,2025-05,Q2,21,22,3,Quinta,True,False,False,False
2025-05-23,2025,Maio,5,2025-05,Q2,21,23,4,Sexta,True,False,False,False
2025-05-24,2025,Maio,5,2025-05,Q2,21,24,5,Sábado,False,True,False,False
2025-05-25,2025,Maio,5,2025-05,Q2,21,25,6,Domingo,False,True,False,False
2025-05-26,2025,Maio,5,2025-05,Q2,22,26,0,Segunda,True,False,False,False
2025-05-27,2025,Maio,5,2025-05,Q2,22,27,1,Terça,True,False,False,False
2025-05-28,2025,Maio,5,2025-05,Q2,22,28,2,Quarta,True,False,False,False
2025-05-29,2025,Maio,5,2025-05,Q2,22,29,3,Quinta,True,False,False,False
2025-05-30,2025,Maio,5,2025-05,Q2,22,30,4,Sexta,True,False,False,False
2025-05-31,2025,Maio,5,2025-05,Q2,22,31,5,Sábado,False,True,False,True
2025-06-01,2025,Junho,6,2025-06,Q2,22,1,6,Domingo,False,True,True,False
2025-06-02,2025,Junho,6,2025-06,Q2,23,2,0,Segunda,True,False,False,False
2025-06-03,2025,Junho,6,2025-06,Q2,23,3,1,Terça,True,False,False,False
2025-06-04,2025,Junho,6,2025-06,Q2,23,4,2,Quarta,True,False,False,False
2025-06-05,2025,Junho,6,2025-06,Q2,23,5,3,Quinta,True,False,False,False
2025-06-06,2025,Junho,6,2025-06,Q2,23,6,4,Sexta,True,False,False,False
2025-06-07,2025,Junho,6,2025-06,Q2,23,7,5,Sábado,False,True,False,False
2025-06-08,2025,Junho,6,2025-06,Q2,23,8,6,Domingo,False,True,False,False
2025-06-09,2025,Junho,6,2025-06,Q2,24,9,0,Segunda,True,False,False,False
2025-06-10,2025,Junho,6,2025-06,Q2,24,10,1,Terça,True,False,False,False
2025-06-11,2025,Junho,6,2025-06,Q2,24,11,2,Quarta,True,False,False,False
2025-06-12,2025,Junho,6,2025-06,Q2,24,12,3,Quinta,True,False,False,False
2025-06-13,2025,Junho,6,2025-06,Q2,24,13,4,Sexta,True,False,False,False
2025-06-14,2025,Junho,6,2025-06,Q2,24,14,5,Sábado,False,True,False,False
2025-06-15,2025,Junho,6,2025-06,Q2,24,15,6,Domingo,False,True,False,False
2025-06-16,2025,Junho,6,2025-06,Q2,25,16,0,Segunda,True,False,False,False
2025-06-17,2025,Junho,6,2025-06,Q2,25,17,1,Terça,True,False,False,False
2025-06-18,2025,Junho,6,2025-06,Q2,25,18,2,Quarta,True,False,False,False
2025-06-19,2025,Junho,6,2025-06,Q2,25,19,3,Quinta,True,False,False,False
2025-06-20,2025,Junho,6,2025-06,Q2,25,20,4,Sexta,True,False,False,False
2025-06-21,2025,Junho,6,2025-06,Q2,25,21,5,Sábado,False,True,False,False
2025-06-22,2025,Junho,6,2025-06,Q2,25,22,6,Domingo,False,True,False,False
2025-06-23,2025,Junho,6,2025-06,Q2,26,23,0,Segunda,True,False,False,False
2025-06-24,2025,Junho,6,2025-06,Q2,26,24,1,Terça,True,False,False,False
2025-06-25,2025,Junho,6,2025-06,Q2,26,25,2,Quarta,True,False,False,False
2025-06-26,2025,Junho,6,2025-06,Q2,26,26,3,Quinta,True,False,False,False
2025-06-27,2025,Junho,6,2025-06,Q2,26,27,4,Sexta,True,False,False,False
2025-06-28,2025,Junho,6,2025-06,Q2,26,28,5,Sábado,False,True,False,False
2025-06-29,2025,Junho,6,2025-06,Q2,26,29,6,Domingo,False,True,False,False
